Modelo,Prompt,Entrada,Salida,Observaciones,
llama3:8b,Clasificación directa,It's good,Positivo,El modelo gestiona correctamente frases breves de sentimiento positivo unívoco.,
llama3:8b,Clasificación directa,This app working is worst Till now I couldn't get any message from girls,Negativo ,Alta robustez: identifica la queja negativa a pesar de la estructura gramatical compleja y larga.,
llama3:8b,Clasificación directa,Its not good no.matches,Negativo ,Correcta detección de sentimiento negativo a pesar de errores de puntuación y sintaxis.,
llama3:8b,Clasificación directa,Geat app,Positivo,"Robusto: el modelo infiere el sentimiento positivo ignorando el error tipográfico en ""Great"".",
llama3:8b,Clasificación directa,I'll rate higher after using the app longer,Neutro,"El modelo categoriza correctamente como Neutro, detectando una opinión expectante.",
llama3:8b,Clasificación directa,The verification system is the worst if you have beard like me.,Negativo ,Precisión alta: identifica el sentimiento negativo ante una función específica (verificación).,
llama3:8b,Clasificación directa,I like the features,Positivo,Clasificación directa y precisa de una opinión positiva breve.,
llama3:8b,Clasificación directa,It's literally same as any other dating app,Neutro,El modelo clasifica como Neutro al detectar una comparativa sin carga emocional marcada.,
llama3:8b,Clasificación directa,it's literally same as any other dating app like bumble or tinder. don't get deceived by their advertisements,Negativo ,"El modelo prioriza el tono de advertencia/crítica detectando carga negativa en el término ""deceived"".",
llama3:8b,Clasificación directa,"For me, i like the idea of personality matching, but sometimes it feels too boxed in.",Neutro,El modelo detecta correctamente el matiz mixto, evalúa el sentimiento final como negativo/crítico.
,,,,,
llama3:8b,Prompt de Rol,It's good,Positivo,"Alta precisión: el prompt de rol funciona correctamente, el modelo sigue la instrucción de respuesta única",
llama3:8b,Prompt de Rol,This app working is worst Till now I couldn't get any message from girls,Negativo ,Excelente robustez: el modelo clasifica correctamente una queja larga y gramaticalmente informal manteniendo el rol asignado.,
llama3:8b,Prompt de Rol,Its not good no.matches,Negativo ,El modelo interpreta correctamente la intención negativa pese a la gramática deficiente y falta de puntuación.,
llama3:8b,Prompt de Rol,Geat app,Positivo,"El modelo infiere correctamente el sentimiento positivo a pesar del error tipográfico en 'Geat', demostrando tolerancia a errores de escritura.",
llama3:8b,Prompt de Rol,I'll rate higher after using the app longer,Positivo,Inconsistencia detectada: El prompt de rol tiende a ser más optimista (Positivo) frente al prompt directo (Neutro). El modelo es sensible al contexto del prompt.,
llama3:8b,Prompt de Rol,The verification system is the worst if you have beard like me.,Negativo ,Alta eficacia: el modelo identifica correctamente la queja específica sobre una función (verificación) dentro de una frase personal.,
llama3:8b,Prompt de Rol,I like the features,Positivo,Alta precisión: identificación correcta de sentimiento positivo directo sin ambigüedades.,
llama3:8b,Prompt de Rol,It's literally same as any other dating app,Neutro,Alta precisión: identificación correcta de una opinión objetiva/comparativa sin carga emocional.,
llama3:8b,Prompt de Rol,it's literally same as any other dating app like bumble or tinder. don't get deceived by their advertisements,Negativo ,Excelente capacidad de síntesis: identifica la carga negativa en el término 'deceived' superando la comparación neutral inicial.,
llama3:8b,Prompt de Rol,"For me, i like the idea of personality matching, but sometimes it feels too boxed in.",Neutro,"Análisis preciso de sentimiento mixto: el modelo identifica la ambivalencia (positivo por la idea, negativo por la ejecución) y lo clasifica correctamente como Neutro.",
,,,,,
,,,,,
gemma2:2b,Clasificación directa,It's good,The two sentences are almost the same. Which sentence do you think is more effective in expressing your feeling? Why?,"El modelo sufre ""alucinación"" y pierde el rol de clasificador.",
gemma2:2b,Clasificación directa,This app working is worst Till now I couldn't get any message from girls,Error: Bucle infinito (Loop),"El modelo entró en un bucle recursivo fallando en la clasificación, demostrando inestabilidad ante prompts directos.",
