year_month,app,sentiment,n
2013-02,Hinge,negative,47
2013-03,Hinge,negative,141
2013-04,Hinge,negative,118
2013-05,Hinge,negative,120
2013-06,Hinge,negative,132
2013-07,Hinge,negative,155
2013-08,Hinge,negative,139
2013-09,Hinge,negative,131
2013-10,Hinge,negative,129
2013-11,Hinge,negative,127
2013-12,Hinge,negative,140
2014-01,Hinge,negative,128
2014-02,Hinge,negative,139
2014-03,Hinge,negative,128
2014-04,Hinge,negative,153
2014-05,Hinge,negative,117
2014-06,Hinge,negative,141
2014-07,Hinge,negative,119
2014-08,Hinge,negative,126
2014-09,Hinge,negative,149
2014-10,Hinge,negative,131
2014-11,Hinge,negative,142
2014-12,Hinge,negative,122
2015-01,Hinge,negative,132
2015-02,Hinge,negative,112
2015-03,Hinge,negative,117
2015-04,Hinge,negative,134
2015-05,Hinge,negative,163
2015-06,Hinge,negative,158
2015-07,Hinge,negative,179
2015-08,Hinge,negative,158
2015-09,Hinge,negative,154
2015-10,Hinge,negative,149
2015-11,Hinge,negative,170
2015-12,Hinge,negative,155
2016-01,Hinge,negative,181
2016-02,Hinge,negative,161
2016-03,Hinge,negative,168
2016-04,Hinge,negative,167
2016-05,Hinge,negative,167
2016-06,Hinge,negative,165
2016-07,Hinge,negative,157
2016-08,Hinge,negative,171
2016-09,Hinge,negative,127
2016-10,Hinge,negative,186
2016-11,Hinge,negative,145
2016-12,Hinge,negative,144
2017-01,Hinge,negative,27
2017-02,Hinge,negative,25
2017-03,Hinge,negative,31
2017-04,Hinge,negative,25
2017-05,Hinge,negative,29
2017-06,Hinge,negative,23
2017-07,Hinge,negative,22
2017-08,Hinge,negative,41
2017-08,Hinge,neutral,6
2017-09,Hinge,negative,21
2017-09,Hinge,neutral,17
2017-10,Hinge,negative,29
2017-10,Hinge,neutral,14
2017-11,Hinge,negative,15
2017-11,Hinge,neutral,12
2017-12,Hinge,negative,31
2017-12,Hinge,neutral,28
2018-01,Hinge,negative,34
2018-01,Hinge,neutral,19
2018-02,Hinge,negative,24
2018-02,Hinge,neutral,18
2018-03,Hinge,negative,20
2018-03,Hinge,neutral,17
2018-04,Hinge,negative,26
2018-04,Hinge,neutral,15
2018-05,Hinge,negative,21
2018-05,Hinge,neutral,31
2018-06,Hinge,negative,25
2018-06,Hinge,neutral,23
2018-07,Hinge,negative,22
2018-07,Hinge,neutral,10
2018-08,Hinge,negative,23
2018-08,Hinge,neutral,12
2018-09,Hinge,negative,23
2018-09,Hinge,neutral,20
2018-10,Hinge,negative,21
2018-10,Hinge,neutral,21
2018-11,Hinge,negative,21
2018-11,Hinge,neutral,19
2018-12,Hinge,negative,28
2018-12,Hinge,neutral,16
2019-01,Hinge,negative,36
2019-01,Hinge,neutral,15
2019-02,Hinge,negative,29
2019-02,Hinge,neutral,16
2019-03,Hinge,negative,24
2019-03,Hinge,neutral,15
2019-04,Hinge,neutral,23
2019-05,Hinge,neutral,20
2019-06,Hinge,neutral,21
2019-07,Hinge,neutral,17
2019-08,Hinge,neutral,21
2019-09,Hinge,neutral,23
2019-10,Hinge,neutral,20
2019-11,Hinge,neutral,24
2019-11,Hinge,positive,6
2019-12,Hinge,neutral,18
2019-12,Hinge,positive,10
2020-01,Hinge,neutral,21
2020-01,Hinge,positive,11
2020-02,Hinge,neutral,11
2020-02,Hinge,positive,10
2020-03,Hinge,neutral,24
2020-03,Hinge,positive,11
2020-04,Hinge,neutral,29
2020-04,Hinge,positive,12
2020-05,Hinge,neutral,23
2020-05,Hinge,positive,9
2020-06,Hinge,neutral,14
2020-06,Hinge,positive,19
2020-07,Boo,negative,32
2020-07,Hinge,neutral,21
2020-07,Hinge,positive,18
2020-08,Boo,negative,37
2020-08,Hinge,neutral,13
2020-08,Hinge,positive,12
2020-09,Boo,negative,34
2020-09,Hinge,neutral,16
2020-09,Hinge,positive,14
2020-10,Boo,negative,37
2020-10,Hinge,neutral,22
2020-10,Hinge,positive,17
2020-11,Boo,negative,33
2020-11,Hinge,neutral,17
2020-11,Hinge,positive,11
2020-12,Boo,negative,41
2020-12,Hinge,neutral,17
2020-12,Hinge,positive,8
2021-01,Boo,negative,38
2021-01,Hinge,neutral,28
2021-01,Hinge,positive,9
2021-02,Boo,negative,31
2021-02,Hinge,neutral,11
2021-02,Hinge,positive,15
2021-03,Boo,negative,42
2021-03,Hinge,neutral,22
2021-03,Hinge,positive,15
2021-04,Boo,negative,41
2021-04,Hinge,neutral,15
2021-04,Hinge,positive,6
2021-05,Boo,negative,31
2021-05,Hinge,neutral,21
2021-05,Hinge,positive,17
2021-06,Boo,negative,35
2021-06,Hinge,neutral,20
2021-06,Hinge,positive,12
2021-07,Boo,negative,53
2021-07,Hinge,positive,13
2021-08,Boo,negative,53
2021-08,Hinge,positive,18
2021-09,Boo,negative,47
2021-09,Hinge,positive,13
2021-10,Boo,negative,54
2021-10,Hinge,positive,10
2021-11,Boo,negative,48
2021-11,Hinge,positive,9
2021-12,Boo,negative,51
2021-12,Hinge,positive,14
2022-01,Boo,negative,66
2022-01,Hinge,positive,13
2022-02,Boo,negative,44
2022-02,Hinge,positive,17
2022-03,Boo,negative,18
2022-03,Hinge,positive,29
2022-04,Boo,negative,21
2022-04,Hinge,positive,35
2022-05,Boo,negative,13
2022-05,Hinge,positive,39
2022-06,Boo,negative,24
2022-06,Boo,neutral,49
2022-06,Hinge,positive,41
2022-07,Boo,negative,18
2022-07,Boo,neutral,70
2022-07,Hinge,positive,41
2022-08,Boo,negative,18
2022-08,Boo,neutral,70
2022-08,Hinge,positive,22
2022-09,Boo,negative,25
2022-09,Boo,neutral,60
2022-09,Hinge,positive,50
2022-10,Boo,negative,19
2022-10,Boo,neutral,67
2022-10,Hinge,positive,38
2022-11,Boo,negative,18
2022-11,Boo,neutral,73
2022-11,Hinge,positive,35
2022-12,Boo,negative,26
2022-12,Boo,neutral,73
2022-12,Hinge,positive,34
2023-01,Boo,negative,19
2023-01,Boo,neutral,75
2023-01,Hinge,positive,32
2023-02,Boo,negative,7
2023-02,Boo,neutral,81
2023-02,Hinge,positive,24
2023-03,Boo,neutral,65
2023-03,Hinge,positive,34
2023-04,Boo,neutral,65
2023-04,Hinge,positive,22
2023-05,Boo,neutral,86
2023-05,Boo,positive,36
2023-05,Hinge,positive,39
2023-06,Boo,neutral,61
2023-06,Boo,positive,118
2023-06,Hinge,positive,52
2023-07,Boo,neutral,69
2023-07,Boo,positive,133
2023-07,Hinge,positive,40
2023-08,Boo,neutral,66
2023-08,Boo,positive,107
2023-08,Hinge,positive,40
2023-09,Boo,neutral,80
2023-09,Boo,positive,126
2023-09,Hinge,positive,37
2023-10,Boo,neutral,70
2023-10,Boo,positive,112
2023-10,Hinge,positive,26
2023-11,Boo,neutral,74
2023-11,Boo,positive,125
2023-11,Hinge,positive,25
2023-12,Boo,neutral,68
2023-12,Boo,positive,105
2023-12,Hinge,positive,18
2024-01,Boo,neutral,59
2024-01,Boo,positive,110
2024-01,Hinge,positive,20
2024-02,Boo,positive,114
2024-02,Hinge,positive,14
2024-03,Boo,positive,98
2024-03,Hinge,positive,29
2024-04,Boo,positive,124
2024-04,Hinge,positive,30
2024-05,Boo,positive,356
2024-05,Hinge,positive,26
2024-06,Boo,positive,381
2024-06,Hinge,positive,32
2024-07,Boo,positive,398
2024-07,Hinge,positive,25
2024-08,Boo,positive,347
2024-08,Hinge,positive,28
2024-09,Boo,positive,425
2024-09,Hinge,positive,32
2024-10,Boo,positive,401
2024-10,Hinge,positive,15
2024-11,Boo,positive,369
2024-11,Hinge,positive,25
2024-12,Boo,positive,425
2024-12,Hinge,positive,21
2025-01,Boo,positive,293
2025-01,Hinge,positive,35
2025-02,Boo,positive,238
2025-02,Hinge,positive,25
2025-03,Boo,positive,256
2025-03,Hinge,positive,27
2025-04,Boo,positive,258
2025-04,Hinge,positive,24
2025-05,Boo,positive,276
2025-05,Hinge,positive,23
2025-06,Boo,positive,277
2025-06,Hinge,positive,26
2025-07,Boo,positive,262
2025-07,Hinge,positive,24
2025-08,Boo,positive,261
2025-08,Hinge,positive,24
2025-09,Boo,positive,241
2025-09,Hinge,positive,25
2025-10,Boo,positive,259
2025-10,Hinge,positive,30
2025-11,Boo,positive,275
2025-11,Hinge,positive,29
2025-12,Boo,positive,236
2025-12,Hinge,positive,30
