year,app,n,avg_score,pct_negative
2013,Hinge,1379,1.0,100.0
2014,Hinge,1595,1.0,100.0
2015,Hinge,1781,1.12,100.0
2016,Hinge,1939,1.163,100.0
2017,Hinge,396,2.194,80.56
2018,Hinge,509,2.434,56.58
2019,Hinge,338,2.784,26.33
2020,Boo,214,1.0,100.0
2020,Hinge,380,3.4,0.0
2021,Boo,524,1.193,100.0
2021,Hinge,268,3.563,0.0
2022,Boo,772,2.521,40.16
2022,Hinge,394,4.604,0.0
2023,Boo,1748,3.478,1.49
2023,Hinge,389,4.72,0.0
2024,Boo,3607,4.582,0.0
2024,Hinge,297,5.0,0.0
2025,Boo,3132,4.988,0.0
2025,Hinge,322,5.0,0.0
