word,Boo_negative,Boo_neutral,Boo_positive,Hinge_negative,Hinge_neutral,Hinge_positive
account,50.0,0.0,0.0,817.0,0.0,0.0
alright,0.0,35.0,0.0,0.0,0.0,0.0
amazing,0.0,0.0,156.0,0.0,0.0,0.0
away,37.0,0.0,0.0,0.0,0.0,0.0
awesome,0.0,0.0,145.0,0.0,0.0,0.0
back,0.0,0.0,0.0,356.0,40.0,0.0
bad,47.0,60.0,0.0,0.0,0.0,0.0
banned,0.0,0.0,0.0,934.0,0.0,0.0
best,0.0,0.0,268.0,0.0,38.0,222.0
better,0.0,43.0,191.0,0.0,86.0,179.0
bots,51.0,0.0,0.0,0.0,0.0,0.0
cool,0.0,28.0,239.0,0.0,0.0,0.0
dating,88.0,56.0,405.0,907.0,150.0,321.0
decent,0.0,35.0,0.0,0.0,0.0,0.0
definitely,0.0,0.0,0.0,0.0,0.0,66.0
deleted,0.0,0.0,0.0,466.0,0.0,0.0
different,0.0,0.0,110.0,0.0,0.0,0.0
doesn,0.0,0.0,0.0,370.0,0.0,0.0
don,93.0,65.0,108.0,1035.0,95.0,76.0
easy,0.0,0.0,222.0,0.0,0.0,0.0
experience,51.0,0.0,175.0,0.0,0.0,86.0
fake,72.0,0.0,0.0,529.0,43.0,0.0
far,61.0,186.0,848.0,0.0,40.0,158.0
feel,43.0,0.0,0.0,0.0,0.0,100.0
filter,0.0,0.0,0.0,0.0,40.0,0.0
find,0.0,0.0,152.0,0.0,0.0,56.0
found,0.0,0.0,0.0,0.0,0.0,65.0
free,38.0,35.0,117.0,324.0,62.0,92.0
friends,0.0,0.0,178.0,0.0,0.0,0.0
fun,0.0,0.0,208.0,0.0,0.0,0.0
getting,0.0,28.0,0.0,0.0,0.0,0.0
good,93.0,296.0,2353.0,399.0,113.0,324.0
got,37.0,0.0,0.0,504.0,0.0,0.0
great,34.0,33.0,565.0,0.0,51.0,165.0
haven,0.0,42.0,0.0,0.0,0.0,0.0
here,0.0,30.0,109.0,0.0,0.0,99.0
interesting,0.0,0.0,154.0,0.0,0.0,0.0
know,0.0,32.0,0.0,0.0,41.0,0.0
less,39.0,0.0,0.0,0.0,0.0,0.0
likes,0.0,0.0,0.0,722.0,96.0,103.0
lot,0.0,39.0,0.0,0.0,41.0,56.0
love,0.0,0.0,278.0,0.0,0.0,97.0
makes,49.0,0.0,0.0,0.0,0.0,95.0
match,52.0,31.0,0.0,540.0,48.0,71.0
matches,73.0,44.0,110.0,786.0,94.0,151.0
meet,0.0,0.0,125.0,0.0,0.0,0.0
message,0.0,0.0,0.0,0.0,44.0,0.0
messages,0.0,0.0,0.0,369.0,50.0,0.0
met,0.0,0.0,0.0,0.0,0.0,114.0
money,82.0,0.0,0.0,722.0,0.0,0.0
nice,0.0,88.0,823.0,0.0,0.0,86.0
nothing,0.0,0.0,0.0,354.0,0.0,0.0
okay,0.0,39.0,0.0,0.0,0.0,0.0
pay,87.0,40.0,0.0,906.0,99.0,0.0
personality,50.0,0.0,215.0,0.0,0.0,0.0
pretty,0.0,52.0,219.0,0.0,0.0,60.0
profile,58.0,0.0,0.0,688.0,60.0,78.0
profiles,59.0,0.0,0.0,746.0,81.0,102.0
rate,0.0,30.0,0.0,0.0,0.0,0.0
reason,0.0,0.0,0.0,556.0,0.0,0.0
scam,36.0,0.0,0.0,0.0,0.0,0.0
seems,0.0,77.0,200.0,0.0,0.0,0.0
send,0.0,0.0,0.0,0.0,43.0,0.0
someone,0.0,0.0,0.0,358.0,45.0,80.0
something,0.0,0.0,0.0,0.0,0.0,68.0
stands,0.0,0.0,0.0,0.0,0.0,57.0
started,0.0,47.0,0.0,0.0,0.0,0.0
subscription,61.0,0.0,0.0,367.0,0.0,0.0
sure,0.0,40.0,0.0,0.0,0.0,0.0
them,49.0,0.0,0.0,485.0,67.0,0.0
think,0.0,31.0,0.0,0.0,0.0,0.0
though,0.0,0.0,0.0,0.0,46.0,0.0
time,67.0,33.0,108.0,812.0,58.0,0.0
tinder,0.0,0.0,0.0,0.0,39.0,97.0
trying,38.0,0.0,0.0,0.0,0.0,0.0
used,0.0,0.0,0.0,321.0,0.0,0.0
using,35.0,44.0,112.0,0.0,0.0,0.0
want,0.0,0.0,0.0,404.0,46.0,0.0
waste,43.0,0.0,0.0,461.0,0.0,0.0
well,0.0,0.0,108.0,0.0,0.0,64.0
which,0.0,0.0,0.0,0.0,42.0,0.0
why,0.0,0.0,0.0,468.0,0.0,0.0
women,0.0,0.0,0.0,345.0,44.0,0.0
yet,0.0,81.0,107.0,0.0,0.0,0.0
